legacy_node_id,node_id,pubchem_id,status
"compound::1-(4-{[4,5-dihydroxy-6-(hydroxymethyl)-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl]oxy}-2,6-dihydroxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)propan-1-one",compound::4453,4453,unique
compound::1-(Methylthio)-2-butanone,compound::61656,61656,unique
compound::1-(furan-2-yl)pentan-1-one,compound::231325,231325,unique
compound::1-Aminopropan-2-ol,compound::4,4,unique
compound::1-Butanethiol,compound::8012,8012,unique
"compound::1-Butanol, 3-mercapto-2-methyl-",compound::6430892,6430892,unique
"compound::1-Butene, 1-(methylthio)-, (E)-",compound::5368103,5368103,unique
compound::1-Chlorooctadecane,compound::18815,18815,unique
compound::1-Decanol,compound::8174,8174,unique
compound::1-Dodecanol,compound::8193,8193,unique
compound::1-Ethoxy-3-methyl-2-butene,compound::5463936,5463936,unique
compound::1-Furfurylpyrrole,compound::15037,15037,unique
compound::1-Heptanol,compound::8129,8129,unique
compound::1-Hepten-3-Ol,compound::21057,21057,unique
compound::1-Hexadecanesulfonyl chloride,compound::96923,96923,unique
compound::1-Hexadecene,compound::12395,12395,unique
compound::1-Hexanethiol,compound::8106,8106,unique
compound::1-Hexanol,compound::8103,8103,unique
compound::1-Hexen-3-Ol,compound::20928,20928,unique
compound::1-Hydroxybutan-2-one,compound::521300,521300,unique
compound::1-Isothiocyanato-6-(methylthio)hexane,compound::165224,165224,unique
compound::1-Mercapto-2-propanone,compound::520144,520144,unique
compound::1-Methyl-1H-pyrrole,compound::7304,7304,unique
compound::1-Methyl-3-Propylbenzene,compound::14092,14092,unique
compound::1-Methylnaphthalene,compound::7002,7002,unique
compound::1-Nonanol,compound::8914,8914,unique
compound::1-Octen-3-Ol,compound::18827,18827,unique
compound::1-Octen-3-One,compound::61346,61346,unique
compound::1-Octen-3-yl acetate,compound::17121,17121,unique
compound::1-Octen-3-yl butyrate,compound::27892,27892,unique
compound::1-Pentadecanol,compound::12397,12397,unique
compound::1-Pentanol,compound::6276,6276,unique
compound::1-Penten-3-Ol,compound::12020,12020,unique
"compound::1-Phenyl-1,2-Propanedione",compound::11363,11363,unique
compound::1-Phenyl-1-propanol,compound::7147,7147,unique
compound::1-Phenylethanethiol,compound::141850,141850,unique
compound::1-Phenylethanol,compound::7409,7409,unique
compound::1-Phenylethyl acetate,compound::62341,62341,unique
compound::1-Phenylethyl isobutyrate,compound::569214,569214,unique
compound::1-Phenylethyl propionate,compound::8432,8432,unique
compound::1-Popc,compound::6436017,6436017,unique
compound::1-Propanethiol,compound::7848,7848,unique
compound::1-Pyrroline,compound::79803,79803,unique
compound::1-Terpineol,compound::11468,11468,unique
compound::1-Tridecanol,compound::8207,8207,unique
compound::1-Tridecyne,compound::117754,117754,unique
compound::1-Undecanol,compound::8184,8184,unique
compound::1-butanol,compound::263,263,unique
compound::1-octanol,compound::957,957,unique
compound::1-p-Menthen-9-al,compound::520440,520440,unique
compound::1-propanol,compound::1031,1031,unique
compound::10-Undecenal,compound::8187,8187,unique
compound::10-epi-gamma-Eudesmol,compound::6430754,6430754,unique
compound::101517-87-7,compound::529056,529056,unique
compound::102-19-2,compound::7600,7600,unique
compound::103-61-7,compound::7664,7664,unique
compound::103-95-7,compound::517827,517827,unique
compound::104-50-7,compound::7704,7704,unique
compound::1125-21-9,compound::62374,62374,unique
compound::1195-32-0,compound::62385,62385,unique
compound::1203-08-3,compound::528763,528763,unique
compound::122-40-7,compound::31209,31209,unique
compound::13002-09-0,compound::83036,83036,unique
compound::13494-07-0,compound::61634,61634,unique
compound::13679-70-4,compound::61663,61663,unique
compound::13679-85-1,compound::61664,61664,unique
compound::13679-86-2,compound::61665,61665,unique
compound::14-Bromopentadecanoic acid,compound::543912,543912,unique
compound::14400-67-0,compound::85730,85730,unique
compound::156420-69-8,compound::57370186,57370186,unique
compound::16491-36-4,compound::5352438,5352438,unique
compound::19322-27-1,compound::4564493,4564493,unique
compound::19872-52-7,compound::88290,88290,unique
compound::1H-Pyrrole-2-carbaldehyde,compound::13854,13854,unique
"compound::2',4'-Dimethylacetophenone",compound::6985,6985,unique
compound::2'-Hydroxyacetophenone,compound::8375,8375,unique
compound::2(5H)-Furanone,compound::10341,10341,unique
"compound::2,2,4-Trimethyl-1,3-dioxolane",compound::62384,62384,unique
"compound::2,2,6-Trimethylcyclohexanone",compound::17000,17000,unique
"compound::2,3,5,6-Tetramethylpyrazine",compound::14296,14296,unique
"compound::2,3,5-Trimethylpyrazine",compound::26808,26808,unique
"compound::2,3,5-Trithiahexane",compound::93236,93236,unique
"compound::2,3,6-Trimethylphenol",compound::17016,17016,unique
"compound::2,3-Dehydro-1,8-cineole",compound::523035,523035,unique
"compound::2,3-Diethyl-5-Methylpyrazine",compound::28905,28905,unique
"compound::2,3-Diethylpyrazine",compound::27458,27458,unique
"compound::2,3-Dimethylbenzofuran",compound::2734646,2734646,unique
"compound::2,3-Dimethylpyrazine",compound::22201,22201,unique
"compound::2,3-Heptanedione",compound::60983,60983,unique
"compound::2,3-Hexanedione",compound::19707,19707,unique
"compound::2,3-Pentanedione",compound::11747,11747,unique
"compound::2,3-butanediol",compound::262,262,unique
"compound::2,3-butanedione",compound::650,650,unique
"compound::2,4,5-Trimethyl-3-Oxazoline",compound::31492,31492,unique
"compound::2,4,5-Trimethyloxazole",compound::30215,30215,unique
"compound::2,4,5-Trimethylthiazole",compound::61653,61653,unique
"compound::2,4,7-Tridecatrienal, (E,Z,Z)-",compound::6421281,6421281,unique
"compound::2,4-Decadien-1-ol",compound::5362696,5362696,unique
"compound::2,4-Decadienoic acid methyl ester",compound::5463485,5463485,unique
"compound::2,4-Di-tert-butylphenol",compound::7311,7311,unique
"compound::2,4-Dimethyl-5-ethylthiazole",compound::162293,162293,unique
"compound::2,4-Dimethylbenzaldehyde",compound::61814,61814,unique
"compound::2,4-Dimethylcyclohexanol",compound::98251,98251,unique
"compound::2,4-Dimethylthiazole",compound::10934,10934,unique
"compound::2,4-Hexadien-1-Ol",compound::641256,641256,unique
"compound::2,4-Hexadienal",compound::637564,637564,unique
"compound::2,4-Lutidine",compound::7936,7936,unique
"compound::2,4-Pentadienal",compound::5986428,5986428,unique
"compound::2,4-dihydroxybenzoic acid",compound::1491,1491,unique
"compound::2,5-Diethyl-3-Methylpyrazine",compound::36225,36225,unique
"compound::2,5-Diethyl-4-methylthiazole",compound::518856,518856,unique
"compound::2,5-Diethyltetrahydrofuran",compound::62913,62913,unique
"compound::2,5-Dimethyl-1,4-dithiane-2,5-diol",compound::62105,62105,unique
"compound::2,5-Dimethyl-4-ethoxy-3(2H)-furanone",compound::3017596,3017596,unique
"compound::2,5-Dimethyl-4-ethyloxazole",compound::121694,121694,unique
"compound::2,5-Dimethylfuran",compound::12266,12266,unique
"compound::2,5-Dimethylphenol",compound::7267,7267,unique
"compound::2,5-Dimethylpyrazine",compound::31252,31252,unique
"compound::2,5-Dimethylthiazole",compound::77837,77837,unique
"compound::2,5-Dimethylthiophene",compound::12514,12514,unique
"compound::2,5-dimethylthiophene-3-carbaldehyde",compound::2762759,2762759,unique
